Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Caudovirales (dsDNA phages),Staphylococcus phage phiETA3 ( 326037 ),Phietalikevirus ( 1623298 ),3,3,0,100.00,0.93,0.04,0.08,0.00,0.00,0.00,0.00
Caudovirales (dsDNA phages),Staphylococcus phage phinm4 ( 387910 ),Phietalikevirus ( 1623298 ),2,2,0,73.86,0.93,0.04,0.08,0.00,0.00,0.00,0.00
Bacteria,Neisseria lactamica ( 486 ),Neisseria ( 482 ),2,11,3,4.31,0.20,2.60,12.10,0.05,0.09,0.20,5.67
Bacteria,Neisseria meningitidis ( 487 ),Neisseria ( 482 ),1,8,3,1.30,0.20,6.35,12.10,0.12,0.09,1.36,5.67
Bacteria,Haemophilus parainfluenzae ( 729 ),Haemophilus ( 724 ),1,9,3,0.63,0.21,7.75,11.42,1.57,0.11,2.72,4.47
Bacteria,Neisseria sp. TM10_4 ( 359077 ),Neisseria ( 482 ),0,3,3,100.00,0.20,0.04,12.10,0.00,0.09,0.00,5.67
Mammalia,Pongo pygmaeus ( 9600 ),Pongo ( 9599 ),0,0,0,19.31,0.93,0.04,0.28,0.00,0.00,0.00,0.00
Bacteria,Neisseria gonorrhoeae ( 485 ),Neisseria ( 482 ),0,2,3,1.55,0.20,1.92,12.10,-0.05,0.09,0.16,5.67
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,0.77,0.93,0.24,0.28,0.00,0.00,0.00,0.00
Bacteria,Neisseria cinerea ( 483 ),Neisseria ( 482 ),0,1,3,-0.11,0.20,0.08,12.10,2.06,0.09,0.92,5.67
Bacteria,Neisseria subflava ( 28449 ),Neisseria ( 482 ),0,1,3,5.62,0.20,0.04,12.10,4.59,0.09,0.24,5.67
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.38,0.38,0.40,0.40,0.00,0.00,0.00,0.00
Bacteria,Haemophilus influenzae ( 727 ),Haemophilus ( 724 ),0,0,3,0.05,0.21,3.63,11.42,-0.05,0.11,0.96,4.47
Bacteria,Neisseria sicca ( 490 ),Neisseria ( 482 ),0,0,3,-0.13,0.20,0.04,12.10,0.34,0.09,0.96,5.67
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),0,0,0,0.12,0.12,0.40,0.40,0.00,0.00,0.00,0.00
Mammalia,Saimiri boliviensis ( 27679 ),Saimiri ( 9520 ),0,0,0,0.36,0.36,0.04,0.04,0.00,0.00,0.00,0.00
Bacteria,Neisseria mucosa ( 488 ),Neisseria ( 482 ),0,0,3,0.42,0.20,0.04,12.10,-0.00,0.09,0.16,5.67
Mammalia,Microtus ochrogaster ( 79684 ),Microtus ( 10053 ),0,0,0,0.20,0.20,0.04,0.04,0.00,0.00,0.00,0.00
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),0,0,0,0.05,0.05,0.04,0.04,0.00,0.00,0.00,0.00
Artificial Sequences,synthetic construct ( 32630 ),No genus ( -1 ),0,0,0,-0.21,0.00,0.04,0.00,0.00,0.00,0.00,0.00
Artificial Sequences,Cloning vector pAM120 ( 46449 ),No genus ( -1 ),0,0,0,0.65,0.00,0.12,0.00,0.00,0.00,0.00,0.00
