Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Alloprevotella rava ( 671218 ),Alloprevotella ( 1283313 ),8997,3761,10,100.00,28.29,0.34,0.34,99.00,2.16,37.65,49.86
Bacteria,Prevotella melaninogenica ( 28132 ),Prevotella ( 838 ),790,588,247,5.40,1.81,63.50,98.85,10.67,0.69,23.00,90.30
Bacteria,Prevotella salivae ( 228604 ),Prevotella ( 838 ),51,53,247,99.00,1.81,0.14,98.85,6.46,0.69,6.17,90.30
Bacteria,Prevotella sp. oral taxon 299 ( 652716 ),Prevotella ( 838 ),34,24,247,0.72,1.81,21.30,98.85,6.81,0.69,1.42,90.30
Bacteria,Prevotella denticola ( 28129 ),Prevotella ( 838 ),19,11,247,2.16,1.81,5.02,98.85,0.88,0.69,0.61,90.30
Bacteria,Prevotella disiens ( 28130 ),Prevotella ( 838 ),14,9,247,100.00,1.81,0.07,98.85,1.30,0.69,2.24,90.30
Bacteria,Prevotella sp. oral clone BU035 ( 163561 ),Prevotella ( 838 ),12,6,247,100.00,1.81,0.07,98.85,0.00,0.69,0.00,90.30
Bacteria,Prevotella sp. Sc00028 ( 1231728 ),Prevotella ( 838 ),12,6,247,99.00,1.81,0.07,98.85,0.00,0.69,0.00,90.30
Bacteria,Prevotella bryantii ( 77095 ),Prevotella ( 838 ),12,6,247,99.00,1.81,0.07,98.85,-0.08,0.69,0.14,90.30
Bacteria,Haemophilus parainfluenzae ( 729 ),Haemophilus ( 724 ),8,33,6,1.03,0.23,11.33,11.87,3.82,0.28,5.63,6.45
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),8,1,1,6.41,6.41,0.20,0.20,0.00,0.00,0.00,0.00
Bacteria,Prevotella oris ( 28135 ),Prevotella ( 838 ),7,9,247,5.26,1.81,0.07,98.85,2.51,0.69,3.73,90.30
Bacteria,Streptococcus pneumoniae ( 1313 ),Streptococcus ( 1301 ),6,39,31,-0.00,-0.04,91.32,229.51,0.78,0.17,51.36,97.83
Bacteria,Atopobium parvulum ( 1382 ),Atopobium ( 1380 ),6,6,1,6.56,1.05,0.95,0.95,1.51,0.92,0.20,0.75
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),6,3,3,1.93,1.93,1.76,1.76,0.00,0.00,0.00,0.00
Bacteria,Streptococcus pseudopneumoniae ( 257758 ),Streptococcus ( 1301 ),4,99,31,0.99,-0.04,62.28,229.51,10.44,0.17,3.60,97.83
Bacteria,Prevotella intermedia ( 28131 ),Prevotella ( 838 ),3,1,247,0.29,1.81,5.83,98.85,-0.13,0.69,0.34,90.30
Bacteria,Streptococcus mitis ( 28037 ),Streptococcus ( 1301 ),2,16,31,0.04,-0.04,55.29,229.51,0.56,0.17,25.44,97.83
Bacteria,Prevotella nigrescens ( 28133 ),Prevotella ( 838 ),2,1,247,4.18,1.81,0.27,98.85,0.10,0.69,1.76,90.30
