Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Klebsiella pneumoniae ( 573 ),Klebsiella ( 570 ),51711,7028,6732,9.50,7.53,718.58,732.44,1.04,1.67,194.39,308.11
Bacteria,Klebsiella variicola ( 244366 ),Klebsiella ( 570 ),301,52,6732,5.22,7.53,6.96,732.44,24.03,1.67,0.69,308.11
Bacteria,Klebsiella sp. A5054 ( 97471 ),Klebsiella ( 570 ),94,12,6732,100.00,7.53,0.13,732.44,0.00,1.67,0.00,308.11
Bacteria,Klebsiella sp. ( 576 ),Klebsiella ( 570 ),52,9,6732,100.00,7.53,0.06,732.44,16.18,1.67,0.19,308.11
Bacteria,Klebsiella sp. SW2 ( 1570431 ),Klebsiella ( 570 ),47,6,6732,100.00,7.53,0.06,732.44,0.00,1.67,0.00,308.11
Bacteria,Citrobacter koseri ( 545 ),Citrobacter ( 544 ),21,23,13,1.70,1.00,12.61,12.67,1.15,0.03,1.57,2.01
Bacteria,Klebsiella oxytoca ( 571 ),Klebsiella ( 570 ),2,0,6732,0.05,7.53,6.65,732.44,0.02,1.67,3.45,308.11
Mammalia,Pongo pygmaeus ( 9600 ),Pongo ( 9599 ),1,1,0,31.15,0.81,0.06,0.25,0.00,0.00,0.00,0.00
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),1,1,1,1.09,1.09,1.13,1.13,0.00,0.00,0.00,0.00
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),0,0,0,2.09,2.09,0.19,0.19,0.00,0.00,0.00,0.00
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.86,0.86,0.75,0.75,0.00,0.00,0.00,0.00
Bacteria,Yersinia pestis ( 632 ),Yersinia ( 629 ),0,3,0,1.76,0.10,1.63,2.51,1.42,0.07,0.25,1.69
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),0,0,0,1.73,1.73,0.06,0.06,0.00,0.00,0.00,0.00
Bacteria,Yersinia enterocolitica ( 630 ),Yersinia ( 629 ),0,1,0,-0.14,0.10,0.44,2.51,2.19,0.07,0.75,1.69
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,0.54,0.81,0.19,0.25,0.00,0.00,0.00,0.00
Bacteria,Siccibacter turicensis ( 413502 ),Siccibacter ( 1649298 ),0,0,0,-0.05,-0.05,0.19,0.19,0.98,0.98,0.06,0.06
Bacteria,Yersinia rohdei ( 29485 ),Yersinia ( 629 ),0,0,0,0.24,0.10,0.44,2.51,-0.26,0.07,0.19,1.69
Bacteria,Raoultella ornithinolytica ( 54291 ),Raoultella ( 160674 ),0,0,0,-0.10,-0.13,0.31,0.31,0.17,0.19,0.25,0.44
Other sequences (vectors),IncL/M plasmid R471a ( 192119 ),No genus ( -1 ),0,24,0,99.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00
Artificial Sequences,Cloning vector pAM120 ( 46449 ),No genus ( -1 ),0,1,0,2.68,0.00,0.38,0.00,0.00,0.00,0.00,0.00
Artificial Sequences,Integrative promoter probe vector pTP2 ( 411947 ),No genus ( -1 ),0,6,0,100.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00
Environmental samples,uncultured bacterium ( 77133 ),No genus ( -1 ),0,0,0,-0.32,0.00,0.06,0.00,0.00,0.00,0.00,0.00
Artificial Sequences,TnphoZ mutagenesis vector pMHL120 ( 156762 ),No genus ( -1 ),0,0,0,0.36,0.00,0.06,0.00,0.00,0.00,0.00,0.00
Caudovirales (dsDNA phages),Shigella phage SfIV ( 1407493 ),No genus ( -1 ),0,18,0,100.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00
Other sequences (vectors),Plasmid pMJ606 ( 44465 ),No genus ( -1 ),0,6,0,100.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00
Fungi,Candida albicans ( 5476 ),Candida ( 1535326 ),0,0,0,0.03,-0.23,0.06,0.06,0.00,0.00,0.00,0.00
Bacteria,Streptococcus uberis ( 1349 ),Streptococcus ( 1301 ),0,0,-13,-0.06,-0.15,0.06,45.54,0.00,-0.14,0.00,21.95
Bacteria,Escherichia fergusonii ( 564 ),Escherichia ( 561 ),0,0,0,-0.12,-0.10,0.13,0.38,0.00,-0.13,0.00,8.28
Bacteria,Streptococcus suis ( 1307 ),Streptococcus ( 1301 ),0,0,-13,-0.17,-0.15,0.06,45.54,0.00,-0.14,0.00,21.95
Mammalia,Chlorocebus sabaeus ( 60711 ),Chlorocebus ( 392815 ),0,0,0,-0.16,-0.17,0.06,0.06,0.00,0.00,0.00,0.00
Bacteria,Shewanella putrefaciens ( 24 ),Shewanella ( 22 ),0,0,0,-0.17,-0.17,0.06,0.63,0.00,0.00,0.00,0.00
Bacteria,Rothia mucilaginosa ( 43675 ),Rothia ( 32207 ),0,0,0,-0.14,-0.14,0.13,0.13,0.00,0.00,0.00,0.00
Bacteria,Salmonella bongori ( 54736 ),Salmonella ( 590 ),0,0,0,-0.10,-0.22,0.13,1.00,0.00,0.11,0.00,1.19
Bacteria,Enterococcus faecalis ( 1351 ),Enterococcus ( 1350 ),0,0,0,-0.20,-0.23,0.06,0.06,0.00,0.00,0.00,0.00
Bacteria,Pluralibacter gergoviae ( 61647 ),Pluralibacter ( 1330546 ),0,0,0,-0.12,-0.12,0.19,0.19,-0.00,-0.00,0.06,0.06
Bacteria,Streptococcus mitis ( 28037 ),Streptococcus ( 1301 ),0,0,-13,-0.15,-0.15,0.13,45.54,0.00,-0.14,0.00,21.95
Bacteria,Streptococcus oralis ( 1303 ),Streptococcus ( 1301 ),0,0,-13,-0.20,-0.15,0.13,45.54,0.00,-0.14,0.00,21.95
Bacteria,Streptococcus sanguinis ( 1305 ),Streptococcus ( 1301 ),0,0,-13,-0.16,-0.15,0.06,45.54,-0.26,-0.14,0.06,21.95
Bacteria,Shewanella sp. ANA-3 ( 94122 ),Shewanella ( 22 ),0,0,0,-0.10,-0.17,0.25,0.63,0.00,0.00,0.00,0.00
Bacteria,Streptococcus parasanguinis ( 1318 ),Streptococcus ( 1301 ),0,0,-13,-0.22,-0.15,0.13,45.54,0.00,-0.14,0.00,21.95
Bacteria,Lactobacillus fermentum ( 1613 ),Lactobacillus ( 1578 ),0,0,0,-0.24,-0.32,0.06,0.06,0.00,-0.33,0.00,0.06
Bacteria,Streptococcus anginosus ( 1328 ),Streptococcus ( 1301 ),0,0,-13,-0.21,-0.15,0.13,45.54,-0.16,-0.14,0.06,21.95
Bacteria,Streptococcus dysgalactiae ( 1334 ),Streptococcus ( 1301 ),0,0,-13,-0.17,-0.15,0.13,45.54,-0.17,-0.14,0.13,21.95
