Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Morganella morganii ( 582 ),Morganella ( 581 ),6412420,64771,101833,99.00,99.00,514.23,514.31,99.00,99.00,140.04,233.08
Bacteria,Enterobacter aerogenes ( 548 ),Enterobacter ( 547 ),431153,71298,6997,99.00,6.00,569.22,572.80,99.00,6.21,150.97,154.97
Bacteria,Bilophila wadsworthia ( 35833 ),Bilophila ( 35832 ),164362,1660,16,100.00,100.00,0.08,0.08,99.00,99.00,16.69,22.39
Bacteria,Acidaminococcus intestini ( 187327 ),Acidaminococcus ( 904 ),10355,594,402,75.22,17.42,7.89,7.92,6.43,33.41,0.08,4.63
Bacteria,Prevotella bivia ( 28125 ),Prevotella ( 838 ),3242,4850,59,1.09,0.68,0.16,44.00,99.00,0.67,48.99,87.59
Bacteria,Sphaerochaeta pleomorpha ( 1131707 ),Sphaerochaeta ( 399320 ),3188,150,115,14.14,20.99,0.90,2.74,30.73,21.14,4.49,8.77
Bacteria,Sphaerochaeta coccoides ( 273376 ),Sphaerochaeta ( 399320 ),1887,89,115,23.27,20.99,0.96,2.74,36.03,21.14,1.86,8.77
Bacteria,Sphaerochaeta globosa ( 1131703 ),Sphaerochaeta ( 399320 ),1007,47,115,15.66,20.99,0.88,2.74,14.11,21.14,2.41,8.77
Bacteria,Pseudomonas aeruginosa ( 287 ),Pseudomonas ( 286 ),846,1980,442,3.10,0.44,562.78,567.19,1.80,0.34,130.09,198.07
Bacteria,Morganella sp. RP-42 ( 761545 ),Morganella ( 581 ),813,8,101833,100.00,99.00,0.05,514.31,100.00,99.00,0.03,233.08
Bacteria,Cosenzaea myxofaciens ( 184072 ),Cosenzaea ( 1354333 ),273,2,2,100.00,100.00,0.03,0.03,0.00,0.00,0.00,0.00
Panarthropoda,Ablabesmyia sp. 2 SRM-2010 ( 891485 ),Ablabesmyia ( 46216 ),273,2,2,100.00,100.00,0.03,0.03,0.00,0.00,0.00,0.00
Bacteria,uncultured Morganella sp. ( 300849 ),Morganella ( 581 ),271,2,101833,100.00,99.00,0.03,514.31,0.00,99.00,0.00,233.08
Bacteria,Shimwellia blattae ( 563 ),Shimwellia ( 1335483 ),188,21,34,8.55,8.55,1.95,1.95,9.42,9.42,0.52,0.52
Bacteria,Prevotella disiens ( 28130 ),Prevotella ( 838 ),28,43,59,100.00,0.68,0.03,44.00,5.09,0.67,7.92,87.59
Bacteria,Pseudomonas sp. M18 ( 228095 ),Pseudomonas ( 286 ),23,59,442,100.00,0.44,0.27,567.19,99.00,0.34,0.33,198.07
Viruses,Human herpesvirus 1 ( 10298 ),Simplexvirus ( 10294 ),12,2,0,100.00,4.66,0.03,0.03,0.00,0.00,0.00,0.00
Bacteria,Prevotella melaninogenica ( 28132 ),Prevotella ( 838 ),11,17,59,1.07,0.68,14.93,44.00,0.70,0.67,2.00,87.59
Bacteria,Klebsiella variicola ( 244366 ),Klebsiella ( 570 ),10,48,10,6.05,0.22,8.03,37.67,3.61,0.06,0.11,31.76
Bacteria,Prevotella nigrescens ( 28133 ),Prevotella ( 838 ),10,15,59,15.91,0.68,0.99,44.00,-0.05,0.67,0.77,87.59
Bacteria,Prevotella denticola ( 28129 ),Prevotella ( 838 ),10,15,59,2.59,0.68,5.89,44.00,0.48,0.67,0.38,87.59
Bacteria,Candidatus Mycoplasma girerdii ( 1318617 ),Mycoplasma ( 2093 ),6,2,0,0.77,-0.19,0.03,0.22,100.00,2.50,0.03,0.44
Bacteria,Enterobacter sp. 638 ( 399742 ),Enterobacter ( 547 ),6,1,6997,-0.13,6.00,0.11,572.80,0.50,6.21,2.19,154.97
Bacteria,Prevotella corporis ( 28128 ),Prevotella ( 838 ),5,8,59,98.71,0.68,0.05,44.00,2.62,0.67,1.07,87.59
Bacteria,Prevotella intermedia ( 28131 ),Prevotella ( 838 ),5,7,59,0.74,0.68,10.41,44.00,0.01,0.67,1.10,87.59
Bacteria,Prevotella salivae ( 228604 ),Prevotella ( 838 ),4,7,59,68.70,0.68,0.03,44.00,2.33,0.67,2.30,87.59
Bacteria,Prevotella sp. Sc00033 ( 1231729 ),Prevotella ( 838 ),3,5,59,99.00,0.68,0.05,44.00,0.00,0.67,0.00,87.59
Bacteria,Prevotella pallens ( 60133 ),Prevotella ( 838 ),2,4,59,100.00,0.68,0.03,44.00,2.34,0.67,0.68,87.59
Bacteria,Desulfovibrio vulgaris ( 881 ),Desulfovibrio ( 872 ),2,3,1,2.23,0.78,1.40,2.90,-0.22,-0.27,0.03,0.36
Bacteria,Prevotella sp. oral taxon 299 ( 652716 ),Prevotella ( 838 ),2,3,59,0.15,0.68,6.74,44.00,3.36,0.67,0.74,87.59
Bacteria,Prevotella dentalis ( 52227 ),Prevotella ( 838 ),2,3,59,0.98,0.68,3.48,44.00,-0.09,0.67,0.19,87.59
Bacteria,Enterobacter lignolyticus ( 1334193 ),Enterobacter ( 547 ),2,0,6997,-0.11,6.00,0.16,572.80,1.27,6.21,0.30,154.97
Bacteria,Prevotella sp. RS2 ( 126378 ),Prevotella ( 838 ),1,2,59,100.00,0.68,0.03,44.00,0.00,0.67,0.00,87.59
Bacteria,Prevotella sp. RZ ( 71185 ),Prevotella ( 838 ),1,2,59,99.00,0.68,0.03,44.00,0.00,0.67,0.00,87.59
Bacteria,Acidaminococcus fermentans ( 905 ),Acidaminococcus ( 904 ),1,0,402,-0.14,17.42,0.03,7.92,1.57,33.41,0.03,4.63
Bacteria,Klebsiella pneumoniae ( 573 ),Klebsiella ( 570 ),1,6,10,0.23,0.22,27.04,37.67,-0.00,0.06,17.04,31.76
Archaea,Methanococcus voltae ( 2188 ),Methanococcus ( 2184 ),1,2,0,100.00,0.44,0.03,0.03,0.00,0.00,0.00,0.00
Bacteria,Pseudomonas sp. W15Apr31B ( 1215180 ),Pseudomonas ( 286 ),1,2,442,100.00,0.44,0.03,567.19,0.00,0.34,0.00,198.07
Bacteria,Pseudomonas sp. 42A2 ( 533250 ),Pseudomonas ( 286 ),1,2,442,100.00,0.44,0.03,567.19,0.00,0.34,0.00,198.07
