Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Neisseria sicca ( 490 ),Neisseria ( 482 ),5387,1079,655,-0.02,2.94,0.36,82.72,29.42,4.99,36.70,68.10
Bacteria,Streptococcus pseudopneumoniae ( 257758 ),Streptococcus ( 1301 ),2871,5888,382,4.26,0.16,238.77,536.31,99.00,0.56,49.21,190.10
Bacteria,Neisseria gonorrhoeae ( 485 ),Neisseria ( 482 ),1327,449,655,21.60,2.94,20.63,82.72,2.59,4.99,1.38,68.10
Bacteria,Neisseria meningitidis ( 487 ),Neisseria ( 482 ),899,287,655,8.29,2.94,31.52,82.72,3.01,4.99,8.78,68.10
Bacteria,Neisseria lactamica ( 486 ),Neisseria ( 482 ),683,232,655,20.68,2.94,11.25,82.72,0.11,4.99,0.24,68.10
Bacteria,Neisseria polysaccharea ( 489 ),Neisseria ( 482 ),292,61,655,100.00,2.94,0.06,82.72,18.69,4.99,2.95,68.10
Bacteria,Neisseria mucosa ( 488 ),Neisseria ( 482 ),254,51,655,1.63,2.94,0.12,82.72,10.07,4.99,5.05,68.10
Bacteria,Neisseria subflava ( 28449 ),Neisseria ( 482 ),166,33,655,8.78,2.94,0.06,82.72,26.12,4.99,1.26,68.10
Bacteria,Streptococcus agalactiae ( 1311 ),Streptococcus ( 1301 ),140,644,382,10.02,0.16,54.26,536.31,4.04,0.56,24.79,190.10
Bacteria,Neisseria elongata ( 495 ),Neisseria ( 482 ),55,18,655,1.02,2.94,18.41,82.72,-0.11,4.99,0.12,68.10
Bacteria,Streptococcus pneumoniae ( 1313 ),Streptococcus ( 1301 ),37,73,382,0.08,0.16,131.69,536.31,1.01,0.56,63.53,190.10
Bacteria,Neisseria sp. AP206 ( 1229328 ),Neisseria ( 482 ),16,5,655,47.52,2.94,0.12,82.72,0.00,4.99,0.00,68.10
Bacteria,Streptococcus mitis ( 28037 ),Streptococcus ( 1301 ),4,9,382,0.03,0.16,51.38,536.31,0.41,0.56,20.21,190.10
Bacteria,Streptococcus sp. SK597 ( 545210 ),Streptococcus ( 1301 ),3,24,382,100.00,0.16,0.24,536.31,0.00,0.56,0.00,190.10
