Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Klebsiella pneumoniae ( 573 ),Klebsiella ( 570 ),4437,1370,1308,4.17,3.30,321.07,330.29,0.38,0.66,83.32,135.46
Bacteria,Bergeriella denitrificans ( 494 ),Bergeriella ( 334108 ),1315,13,13,99.00,99.00,0.13,0.13,0.00,0.00,0.00,0.00
Bacteria,Klebsiella sp. Mich. 61 ( 1339199 ),Klebsiella ( 570 ),219,66,1308,99.00,3.30,0.67,330.29,0.00,0.66,0.00,135.46
Bacteria,Klebsiella variicola ( 244366 ),Klebsiella ( 570 ),26,8,1308,2.39,3.30,3.36,330.29,4.48,0.66,0.13,135.46
Bacteria,Alloprevotella rava ( 671218 ),Alloprevotella ( 1283313 ),15,4,0,100.00,3.39,0.04,0.04,0.69,-0.19,0.31,0.63
Bacteria,Klebsiella sp. 910 ( 244368 ),Klebsiella ( 570 ),14,4,1308,100.00,3.30,0.04,330.29,0.00,0.66,0.00,135.46
Bacteria,Klebsiella sp. 325 ( 1339200 ),Klebsiella ( 570 ),14,4,1308,100.00,3.30,0.04,330.29,0.00,0.66,0.00,135.46
Bacteria,Neisseria subflava ( 28449 ),Neisseria ( 482 ),7,14,12,13.28,0.30,0.09,14.68,16.51,0.57,0.81,11.68
Bacteria,Neisseria flavescens ( 484 ),Neisseria ( 482 ),4,8,12,5.87,0.30,0.18,14.68,1.66,0.57,4.25,11.68
Bacteria,Neisseria meningitidis ( 487 ),Neisseria ( 482 ),3,10,12,1.45,0.30,6.85,14.68,0.36,0.57,1.97,11.68
Bacteria,Neisseria lactamica ( 486 ),Neisseria ( 482 ),2,7,12,3.43,0.30,2.10,14.68,0.00,0.57,0.00,11.68
Bacteria,Neisseria gonorrhoeae ( 485 ),Neisseria ( 482 ),1,5,12,2.16,0.30,2.46,14.68,0.10,0.57,0.22,11.68
Bacteria,Neisseria polysaccharea ( 489 ),Neisseria ( 482 ),1,4,12,100.00,0.30,0.04,14.68,0.86,0.57,0.18,11.68
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),0,0,0,0.66,0.66,0.81,0.81,0.00,0.00,0.00,0.00
Bacteria,Atopobium parvulum ( 1382 ),Atopobium ( 1380 ),0,0,0,1.92,0.20,0.31,0.31,0.17,0.86,0.04,0.72
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.39,0.39,0.40,0.40,0.00,0.00,0.00,0.00
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),0,0,0,1.13,1.13,0.04,0.04,0.00,0.00,0.00,0.00
Bacteria,Neisseria cinerea ( 483 ),Neisseria ( 482 ),0,0,12,-0.09,0.30,0.09,14.68,0.23,0.57,0.22,11.68
