Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Viruses,Torque teno virus 13 ( 687352 ),Alphatorquevirus ( 687331 ),81814,1408,905,100.00,18.53,7.16,7.70,100.00,99.00,6.92,7.31
Viruses,Torque teno virus 3 ( 687342 ),Alphatorquevirus ( 687331 ),432,23,905,100.00,18.53,0.23,7.70,0.00,99.00,0.00,7.31
Viruses,Torque teno virus 19 ( 687358 ),Alphatorquevirus ( 687331 ),288,15,905,100.00,18.53,0.16,7.70,0.00,99.00,0.00,7.31
Viruses,Torque teno virus 15 ( 687354 ),Alphatorquevirus ( 687331 ),288,15,905,100.00,18.53,0.16,7.70,0.00,99.00,0.00,7.31
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),4,2,2,1.66,1.66,1.56,1.56,0.00,0.00,0.00,0.00
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),1,0,0,1.84,1.81,0.47,0.47,0.00,0.00,0.00,0.00
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),1,1,1,1.10,1.10,0.93,0.93,0.00,0.00,0.00,0.00
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),0,0,0,2.23,2.23,0.08,0.08,0.00,0.00,0.00,0.00
Mammalia,Pan paniscus ( 9597 ),Pan ( 9596 ),0,0,0,0.71,0.71,0.31,0.31,0.00,0.00,0.00,0.00
Mammalia,Chlorocebus aethiops ( 9534 ),Chlorocebus ( 392815 ),0,0,0,5.71,0.07,0.16,0.16,0.00,0.00,0.00,0.00
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),0,0,0,0.58,0.58,0.08,0.08,0.00,0.00,0.00,0.00
Viruses,uncultured Anellovirus ( 1034771 ),No genus ( -1 ),0,7,0,100.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00
Viruses,Torque teno virus ( 68887 ),No genus ( -1 ),0,4621,0,99.00,0.00,45.05,0.00,99.00,0.00,1.63,0.00
Viruses,uncultured virus ( 340016 ),No genus ( -1 ),0,0,0,2.24,0.00,0.08,0.00,0.00,0.00,0.00,0.00
Viruses,SEN virus ( 136966 ),No genus ( -1 ),0,38,0,99.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00
Bacteria,Streptococcus salivarius ( 1304 ),Streptococcus ( 1301 ),0,0,0,-0.12,-0.18,0.08,0.31,0.00,-0.23,0.00,0.23
Bacteria,Streptococcus sp. VT 162 ( 1419814 ),Streptococcus ( 1301 ),0,0,0,-0.13,-0.18,0.08,0.31,0.00,-0.23,0.00,0.23
Bacteria,Atopobium parvulum ( 1382 ),Atopobium ( 1380 ),0,0,0,0.21,-0.12,0.08,0.08,0.00,0.00,0.00,0.00
Mammalia,Papio anubis ( 9555 ),Papio ( 9554 ),0,0,0,-0.16,-0.16,0.08,0.08,0.00,0.00,0.00,0.00
Eukaryotes,Protopolystoma xenopodis ( 117903 ),Protopolystoma ( 117902 ),0,0,0,-0.19,-0.19,0.08,0.08,0.00,0.00,0.00,0.00
Bacteria,Streptococcus sp. I-P16 ( 1156433 ),Streptococcus ( 1301 ),0,0,0,-0.23,-0.18,0.08,0.31,0.00,-0.23,0.00,0.23
Propionbacterium acnes,Propionibacterium acnes ( 1747 ),Propionibacterium ( 1743 ),0,0,0,-0.27,-0.27,0.08,0.16,0.00,0.00,0.00,0.00
Acidovorax,Acidovorax ebreus ( 721785 ),Acidovorax ( 12916 ),0,0,0,-0.28,-0.25,0.08,0.08,0.00,0.00,0.00,0.00
Mammalia,Macaca mulatta ( 9544 ),Macaca ( 9539 ),0,0,0,-0.24,-0.17,0.16,0.31,0.00,0.00,0.00,0.00
Bacteria,Campylobacter concisus ( 199 ),Campylobacter ( 194 ),0,0,0,-0.09,-0.18,0.31,0.31,0.06,-0.18,0.16,0.16
Bacteria,Streptococcus parasanguinis ( 1318 ),Streptococcus ( 1301 ),0,0,0,-0.23,-0.18,0.08,0.31,-0.35,-0.23,0.08,0.23
Bacteria,Propionibacterium propionicum ( 1750 ),Propionibacterium ( 1743 ),0,0,0,-0.46,-0.27,0.08,0.16,0.00,0.00,0.00,0.00
Mammalia,Macaca nemestrina ( 9545 ),Macaca ( 9539 ),0,0,0,0.86,-0.17,0.08,0.31,0.00,0.00,0.00,0.00
Bacteria,Prevotella melaninogenica ( 28132 ),Prevotella ( 838 ),0,0,0,-0.24,-0.22,0.16,0.16,-0.17,-0.16,0.16,0.16
Bacteria,Rothia dentocariosa ( 2047 ),Rothia ( 32207 ),0,0,0,-0.12,-0.14,0.86,0.86,-0.17,-0.23,0.23,0.31
Bacteria,Veillonella parvula ( 29466 ),Veillonella ( 29465 ),0,0,0,-0.17,-0.17,0.62,0.62,-0.20,-0.22,0.23,0.47
Mammalia,Macaca fascicularis ( 9541 ),Macaca ( 9539 ),0,0,0,2.21,-0.17,0.08,0.31,0.00,0.00,0.00,0.00
Bacteria,Stenotrophomonas maltophilia ( 40324 ),Stenotrophomonas ( 40323 ),0,0,0,-0.31,-0.32,0.54,0.54,-0.36,-0.36,0.31,0.39
