Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Fungi,Candida glabrata ( 5478 ),Nakaseomyces ( 374468 ),1,0,1,0.33,0.31,0.56,0.56,3.64,3.07,0.17,0.17
Fungi,Candida dubliniensis ( 42374 ),Candida ( 1535326 ),1,27,0,11.24,0.11,1.49,1.56,31.18,-0.01,0.33,0.50
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.99,0.99,0.86,0.86,0.00,0.00,0.00,0.00
Mammalia,Colobus angolensis ( 54131 ),Colobus ( 9570 ),0,0,0,2.27,2.27,0.03,0.03,0.00,0.00,0.00,0.00
Mammalia,Rhinopithecus roxellana ( 61622 ),Rhinopithecus ( 542827 ),0,0,0,1.48,1.48,0.03,0.03,0.00,0.00,0.00,0.00
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,0.42,0.41,0.17,0.17,0.00,0.00,0.00,0.00
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),0,0,0,0.41,0.41,0.07,0.07,0.00,0.00,0.00,0.00
Mammalia,Chlorocebus aethiops ( 9534 ),Chlorocebus ( 392815 ),0,0,0,1.05,0.00,0.03,0.13,0.00,0.00,0.00,0.00
Caudovirales (dsDNA phages),Lactobacillus phage Lrm1 ( 496874 ),No genus ( -1 ),0,3,0,100.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00
Bacteria,Enterobacteriaceae bacterium strain FGI 57 ( 693444 ),No genus ( -1 ),0,0,0,-0.22,0.00,0.03,0.00,0.00,0.00,0.00,0.00
Environmental samples,uncultured bacterium ( 77133 ),No genus ( -1 ),0,0,0,-0.32,0.00,0.03,0.00,0.00,0.00,0.00,0.00
Artificial Sequences,Cloning vector pAM120 ( 46449 ),No genus ( -1 ),0,0,0,-0.02,0.00,0.03,0.00,0.00,0.00,0.00,0.00
Mammalia,Chlorocebus sabaeus ( 60711 ),Chlorocebus ( 392815 ),0,0,0,-0.07,0.00,0.10,0.13,0.00,0.00,0.00,0.00
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),0,0,0,-0.01,-0.01,0.30,0.30,0.00,0.00,0.00,0.00
Bacteria,Acinetobacter baumannii ( 470 ),Acinetobacter ( 469 ),0,0,0,-0.12,-0.13,0.03,0.33,0.00,-0.13,0.00,0.17
Bacteria,Odoribacter splanchnicus ( 28118 ),Odoribacter ( 283168 ),0,0,0,-0.13,-0.13,0.03,0.03,0.00,0.00,0.00,0.00
Bacteria,Rothia mucilaginosa ( 43675 ),Rothia ( 32207 ),0,0,0,-0.14,-0.14,0.03,0.23,0.00,-0.25,0.00,0.13
Bacteria,Streptococcus gordonii ( 1302 ),Streptococcus ( 1301 ),0,0,0,-0.13,-0.18,0.03,0.36,0.00,-0.24,0.00,0.10
Bacteria,Enterococcus dispar ( 44009 ),Enterococcus ( 1350 ),0,0,0,-0.12,-0.20,0.03,1.69,0.00,-0.21,0.00,0.73
Bacteria,Lactobacillus paracasei ( 1597 ),Lactobacillus ( 1578 ),0,0,0,-0.08,-0.32,0.03,0.93,0.00,-0.32,0.00,0.46
Bacteria,Shigella flexneri ( 623 ),Shigella ( 620 ),0,0,0,-0.19,-0.14,0.03,0.03,0.00,0.00,0.00,0.00
