Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),2,1,1,1.43,1.43,1.19,1.19,0.00,0.00,0.00,0.00
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),0,0,0,2.65,2.65,0.09,0.09,0.00,0.00,0.00,0.00
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,0.50,0.49,0.18,0.18,0.00,0.00,0.00,0.00
Mammalia,Chlorocebus aethiops ( 9534 ),Chlorocebus ( 392815 ),0,0,0,1.52,0.13,0.05,0.18,0.00,0.00,0.00,0.00
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),0,0,0,0.08,0.08,0.37,0.37,0.00,0.00,0.00,0.00
Mammalia,Chlorocebus sabaeus ( 60711 ),Chlorocebus ( 392815 ),0,0,0,0.03,0.13,0.14,0.18,0.00,0.00,0.00,0.00
Fungi,Candida albicans ( 5476 ),Candida ( 1535326 ),0,0,0,-0.05,-0.23,0.05,0.05,0.00,0.00,0.00,0.00
Mammalia,Papio anubis ( 9555 ),Papio ( 9554 ),0,0,0,-0.16,-0.16,0.05,0.05,0.00,0.00,0.00,0.00
Bacteria,Pseudomonas pseudoalcaligenes ( 330 ),Pseudomonas ( 286 ),0,0,0,-0.19,-0.30,0.05,0.05,0.00,0.00,0.00,0.00
Mammalia,Macaca mulatta ( 9544 ),Macaca ( 9539 ),0,0,0,-0.18,-0.15,0.27,0.37,0.00,0.00,0.00,0.00
Mammalia,Macaca nemestrina ( 9545 ),Macaca ( 9539 ),0,0,0,1.06,-0.15,0.09,0.37,0.00,0.00,0.00,0.00
